id,rank
29,91
80,90
60,89
59,88
25,87
35,86
26,85
31,84
21,83
76,82
24,81
28,80
77,79
47,78
68,77
85,76
30,75
40,74
11,73
19,72
22,71
91,70
17,69
72,68
32,67
78,66
81,65
10,64
1,63
3,62
37,61
44,60
88,59
83,58
38,57
62,56
20,55
57,54
8,53
66,52
71,51
84,50
58,49
75,48
16,47
69,46
87,45
34,44
74,43
15,42
53,41
73,40
79,39
13,38
82,37
36,36
14,35
27,34
48,33
56,32
45,31
61,30
86,29
12,28
50,27
5,26
51,25
65,24
70,23
33,22
63,21
6,20
18,19
52,18
39,17
49,16
7,15
55,14
46,13
89,12
90,11
2,10
42,9
43,8
9,7
41,6
54,5
4,4
23,3
64,2
67,1
